Gene Set Name	# Genes in Gene Set (K)	Description	# Genes in Overlap (k)	k/K	p-value	FDR q-value
GO_INTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE	1708	The component of the plasma membrane consisting of the gene products and protein complexes having either part of their peptide sequence embedded in the hydrophobic region of the membrane or some other covalently attached group such as a GPI anchor that is similarly embedded in the membrane. [GOC:dos, GOC:mah]	200	0.1171	3.71E-62	3.71E-59
GO_SYNAPSE	1171	The junction between a nerve fiber of one neuron and another neuron, muscle fiber or glial cell. As the nerve fiber approaches the synapse it enlarges into a specialized structure, the presynaptic nerve ending, which contains mitochondria and synaptic vesicles. At the tip of the nerve ending is the presynaptic membrane; facing it, and separated from it by a minute cleft (the synaptic cleft) is a specialized area of membrane on the receiving cell, known as the postsynaptic membrane. In response to the arrival of nerve impulses, the presynaptic nerve ending secretes molecules of neurotransmitters into the synaptic cleft. These diffuse across the cleft and transmit the signal to the postsynaptic membrane. [ISBN:0198506732]	152	0.1298	1.59E-52	7.97E-50
GO_NEURON_PART	1715	Any constituent part of a neuron, the basic cellular unit of nervous tissue. A typical neuron consists of a cell body (often called the soma), an axon, and dendrites. Their purpose is to receive, conduct, and transmit impulses in the nervous system. [GOC:pr, http://en.wikipedia.org/wiki/Neuron]	185	0.1079	6.92E-52	2.31E-49
GO_SYNAPSE_PART	934	Any constituent part of a synapse, the junction between a nerve fiber of one neuron and another neuron or muscle fiber or glial cell. [GOC:jl]	129	0.1381	1.75E-47	4.38E-45
GO_NEURON_PROJECTION	1304	A prolongation or process extending from a nerve cell, e.g. an axon or dendrite. [GOC:jl, http://www.cogsci.princeton.edu/~wn/]	145	0.1112	6.13E-42	1.23E-39
GO_CELL_JUNCTION	1277	A cellular component that forms a specialized region of connection between two or more cells or between a cell and the extracellular matrix. At a cell junction, anchoring proteins extend through the plasma membrane to link cytoskeletal proteins in one cell to cytoskeletal proteins in neighboring cells or to proteins in the extracellular matrix. [GOC:mah, http://www.vivo.colostate.edu/hbooks/cmb/cells/pmemb/junctions_a.html, ISBN:0198506732]	136	0.1065	2.88E-37	4.8E-35
GO_PLASMA_MEMBRANE_REGION	1186	A membrane that is a (regional) part of the plasma membrane. [GOC:dos]	130	0.1096	6.49E-37	9.28E-35
GO_CELL_PROJECTION_PART	1440	Any constituent part of a cell projection, a prolongation or process extending from a cell, e.g. a flagellum or axon. [GOC:jl]	140	0.0972	4.68E-34	5.86E-32
GO_POSTSYNAPSE	612	The part of a synapse that is part of the post-synaptic cell. [GOC:dos]	87	0.1422	4.33E-33	4.81E-31
GO_PRESYNAPSE	485	The part of a synapse that is part of the presynaptic cell. [GOC:dos]	77	0.1588	1.12E-32	1.12E-30
GO_SYNAPTIC_MEMBRANE	429	A specialized area of membrane on either the presynaptic or the postsynaptic side of a synapse, the junction between a nerve fiber of one neuron and another neuron or muscle fiber or glial cell. [GOC:BHF, PMID:20410104]	70	0.1632	1.48E-30	1.35E-28
GO_SOMATODENDRITIC_COMPARTMENT	820	The region of a neuron that includes the cell body (cell soma) and dendrite(s), but excludes the axon. [GOC:pad, GOC:PARL]	95	0.1159	6.31E-29	5.26E-27
GO_INTRINSIC_COMPONENT_OF_SYNAPTIC_MEMBRANE	167	The component of the synaptic membrane consisting of the gene products and protein complexes having either part of their peptide sequence embedded in the hydrophobic region of the membrane or some other covalently attached group such as a GPI anchor that is similarly embedded in the membrane. [GOC:dos, GOC:mah]	41	0.2455	1.86E-25	1.43E-23
GO_POSTSYNAPTIC_MEMBRANE	322	A specialized area of membrane facing the presynaptic membrane on the tip of the nerve ending and separated from it by a minute cleft (the synaptic cleft). Neurotransmitters cross the synaptic cleft and transmit the signal to the postsynaptic membrane. [ISBN:0198506732]	55	0.1708	2.91E-25	2.08E-23
GO_AXON	600	The long process of a neuron that conducts nerve impulses, usually away from the cell body to the terminals and varicosities, which are sites of storage and release of neurotransmitter. [GOC:nln, ISBN:0198506732]	73	0.1217	1.02E-23	6.8E-22
GO_PLASMA_MEMBRANE_PROTEIN_COMPLEX	574	Any protein complex that is part of the plasma membrane. [GOC:dos]	71	0.1237	1.6E-23	1E-21
GO_EXTRACELLULAR_MATRIX	524	A structure lying external to one or more cells, which provides structural support, biochemical or biomechanical cues for cells or tissues. [GOC:BHF, GOC:mah, GOC:rph, NIF_Subcellular:nlx_subcell_20090513, PMID:21123617, PMID:28089324]	67	0.1279	4.56E-23	2.69E-21
GO_DENDRITIC_TREE	589	The entire complement of dendrites for a neuron, consisting of each primary dendrite and all its branches. [GOC:aruk, GOC:bc, NIF_Subcellular:sao172297168]	71	0.1205	7.3E-23	4.06E-21
GO_GLUTAMATERGIC_SYNAPSE	351	A synapse that uses glutamate as a neurotransmitter. [GOC:dos]	54	0.1538	1.35E-22	7.1E-21
GO_TRANSPORTER_COMPLEX	335	A protein complex facilitating transport of molecules (proteins, small molecules, nucleic acids) into, out of or within a cell, or between cells. [GOC:bhm, PMID:15449578]	51	0.1522	3.31E-21	1.66E-19
GO_INTRINSIC_COMPONENT_OF_POSTSYNAPTIC_MEMBRANE	122	The component of the postsynaptic membrane consisting of the gene products and protein complexes having either part of their peptide sequence embedded in the hydrophobic region of the membrane or some other covalently attached group such as a GPI anchor that is similarly embedded in the membrane. [GOC:dos, GOC:mah]	32	0.2623	4.01E-21	1.91E-19
GO_CELL_BODY	559	The portion of a cell bearing surface projections such as axons, dendrites, cilia, or flagella that includes the nucleus, but excludes all cell projections. [GOC:go_curators]	66	0.1181	7.58E-21	3.45E-19
GO_CATION_CHANNEL_COMPLEX	221	An ion channel complex through which cations pass. [GOC:mah]	41	0.1855	1.51E-20	6.59E-19
