Gene Set Name	# Genes in Gene Set (K)	Description	# Genes in Overlap (k)	k/K	p-value	FDR q-value
GO_CALCIUM_ION_BINDING	698	Interacting selectively and non-covalently with calcium ions (Ca2+). [GOC:ai]	37	0.053	1.01E-09	1.65E-06
GO_RECEPTOR_REGULATOR_ACTIVITY	525	The function of interacting (directly or indirectly) with receptors such that the proportion of receptors in the active form is changed. [GOC:ceb]	30	0.0571	7.29E-09	4.45E-06
GO_MRNA_BINDING_INVOLVED_IN_POSTTRANSCRIPTIONAL_GENE_SILENCING	248	"Any mRNA binding that is involved in posttranscriptional gene silencing. [GO_REF:0000061, GOC:BHF, GOC:BHF_miRNA, GOC:jl, GOC:TermGenie]"	20	0.0806	9.05E-09	4.45E-06
GO_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	1047	"Enables the transfer of a substance, usually a specific substance or a group of related substances, from one side of a membrane to the other. [GOC:jid, GOC:mtg_transport, ISBN:0815340729]"	45	0.043	1.08E-08	4.45E-06
GO_TRANSPORTER_ACTIVITY	1250	"Enables the directed movement of substances (such as macromolecules, small molecules, ions) into, out of or within a cell, or between cells. [GOC:ai, GOC:dgf]"	50	0.04	1.63E-08	4.73E-06
GO_PASSIVE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	454	"Enables the transfer of a single solute from one side of a membrane to the other by a mechanism involving conformational change, either by facilitated diffusion or in a membrane potential dependent process if the solute is charged. [GOC:mtg_transport, ISBN:0815340729]"	27	0.0595	1.81E-08	4.73E-06
GO_SERINE_HYDROLASE_ACTIVITY	187	Catalysis of the hydrolysis of a substrate by a catalytic mechanism that involves a catalytic triad consisting of a serine nucleophile that is activated by a proton relay involving an acidic residue (e.g. aspartate or glutamate) and a basic residue (usually histidine). [Wikipedia:Serine_hydrolase]	17	0.0909	2.01E-08	4.73E-06
GO_HORMONE_ACTIVITY	121	"The action characteristic of a hormone, any substance formed in very small amounts in one specialized organ or group of cells and carried (sometimes in the bloodstream) to another organ or group of cells in the same organism, upon which it has a specific regulatory action. The term was originally applied to agents with a stimulatory physiological action in vertebrate animals (as opposed to a chalone, which has a depressant action). Usage is now extended to regulatory compounds in lower animals and plants, and to synthetic substances having comparable effects; all bind receptors and trigger some biological process. [GOC:dph, GOC:mah, ISBN:0198506732]"	13	0.1074	1.33E-07	2.72E-05
GO_MOLECULAR_FUNCTION_REGULATOR	1795	"A molecular function that modulates the activity of a gene product or complex.  Examples include enzyme regulators and channel regulators. [GOC:dos, GOC:pt]"	60	0.0334	3.34E-07	6.10E-05
GO_STRUCTURAL_MOLECULE_ACTIVITY	826	"The action of a molecule that contributes to the structural integrity of a complex or its assembly within or outside a cell. [GOC:mah, GOC:vw]"	35	0.0424	6.62E-07	1.09E-04
GO_TRANSMEMBRANE_SIGNALING_RECEPTOR_ACTIVITY	1277	"Combining with an extracellular or intracellular signal and transmitting the signal from one side of the membrane to the other to initiate a change in cell activity or state as part of signal transduction. [GOC:go_curators, Wikipedia:Transmembrane_receptor]"	46	0.036	1.17E-06	1.75E-04
GO_SIGNALING_RECEPTOR_BINDING	1633	"Interacting selectively and non-covalently with one or more specific sites on a receptor molecule, a macromolecule that undergoes combination with a hormone, neurotransmitter, drug or intracellular messenger to initiate a change in cell function. [GOC:bf, GOC:ceb, ISBN:0198506732]"	54	0.0331	1.83E-06	2.49E-04
GO_SCAVENGER_RECEPTOR_ACTIVITY	51	"Combining with any modified low-density lipoprotein (LDL) or other polyanionic ligand and delivering the ligand into the cell via endocytosis. Ligands include acetylated and oxidized LDL, Gram-positive and Gram-negative bacteria, apoptotic cells, amyloid-beta fibrils, and advanced glycation end products (AGEs). [GOC:bf, PMID:11790542, PMID:12379907, PMID:12621157, PMID:20981357]"	8	0.1569	1.97E-06	2.49E-04
GO_LIPID_BINDING	726	Interacting selectively and non-covalently with a lipid. [GOC:ai]	31	0.0427	2.46E-06	2.85E-04
GO_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_PAIRED_DONORS_WITH_INCORPORATION_OR_REDUCTION_OF_MOLECULAR_OXYGEN_REDUCED_IRON_SULFUR_PROTEIN_AS_ONE_DONOR_AND_INCORPORATION_OF_ONE_ATOM_OF_OXYGEN	7	"Catalysis of an oxidation-reduction (redox) reaction in which hydrogen or electrons are transferred from reduced iron-sulfur protein and one other donor, and one atom of oxygen is incorporated into one donor. [GOC:mah]"	4	0.5714	2.60E-06	2.85E-04
GO_MOLECULAR_TRANSDUCER_ACTIVITY	1544	"A compound molecular function in which an effector function is controlled by one or more regulatory components. [GOC:dos, GOC:pdt]"	51	0.033	3.69E-06	3.80E-04
GO_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	879	"Enables the transfer of an ion from one side of a membrane to the other. [GOC:dgf, GOC:mtg_transport, ISBN:0815340729]"	34	0.0387	6.85E-06	6.63E-04
GO_CYTOKINE_ACTIVITY	219	"Functions to control the survival, growth, differentiation and effector function of tissues and cells. [ISBN:0198599471]"	14	0.0639	2.19E-05	2.00E-03
GO_WATER_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	11	Enables the transfer of water (H2O) from one side of a membrane to the other. [GOC:ai]	4	0.3636	2.32E-05	2.01E-03
GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY	866	"Combining with an extracellular signal and transmitting the signal across the membrane by activating an associated G-protein; promotes the exchange of GDP for GTP on the alpha subunit of a heterotrimeric G-protein complex. [GOC:bf, http://www.iuphar-db.org, Wikipedia:GPCR]"	32	0.037	3.09E-05	2.54E-03
GO_CYTOSKELETAL_PROTEIN_BINDING	950	"Interacting selectively and non-covalently with any protein component of any cytoskeleton (actin, microtubule, or intermediate filament cytoskeleton). [GOC:mah]"	34	0.0358	3.34E-05	2.62E-03
GO_ACTIN_BINDING	422	"Interacting selectively and non-covalently with monomeric or multimeric forms of actin, including actin filaments. [GOC:clt]"	20	0.0474	3.55E-05	2.65E-03
GO_SODIUM_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	148	"Enables the transfer of sodium ions (Na+) from one side of a membrane to the other. [GOC:ai, GOC:BHF]"	11	0.0743	4.22E-05	2.96E-03
GO_ENDOPEPTIDASE_ACTIVITY	428	"Catalysis of the hydrolysis of internal, alpha-peptide bonds in a polypeptide chain. [http://merops.sanger.ac.uk/about/glossary.htm"	20	0.0467	4.32E-05	2.96E-03
GO_PROTEIN_ARGININE_DEIMINASE_ACTIVITY	5	Catalysis of the reaction: protein L-arginine + H2O = protein L-citrulline + NH3. [EC:3.5.3.15]	3	0.6	4.53E-05	2.98E-03
GO_METAL_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	440	Enables the transfer of metal ions from one side of a membrane to the other. [GOC:ai]	20	0.0455	6.32E-05	4.00E-03
GO_GATED_CHANNEL_ACTIVITY	341	Enables the transmembrane transfer of a solute by a channel that opens in response to a specific stimulus. [GOC:mtg_transport]	17	0.0499	7.27E-05	4.43E-03
GO_MONOVALENT_INORGANIC_CATION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	383	"Enables the transfer of a inorganic cations with a valency of one from one side of a membrane to the other. Inorganic cations are atoms or small molecules with a positive charge that do not contain carbon in covalent linkage. [GOC:ai, GOC:mtg_transport, ISBN:0815340729]"	18	0.047	9.55E-05	5.40E-03
GO_CYTOKINE_RECEPTOR_BINDING	283	"Interacting selectively and non-covalently with a cytokine receptor. [GOC:mah, GOC:vw]"	15	0.053	9.71E-05	5.40E-03
GO_CARGO_RECEPTOR_ACTIVITY	86	"Combining selectively with an extracellular substance and delivering the substance into the cell via endocytosis. [GOC:bf, GOC:signaling, PMID:15239958]"	8	0.093	9.84E-05	5.40E-03
GO_MOTOR_ACTIVITY	137	"Catalysis of the generation of force resulting either in movement along a microfilament or microtubule, or in torque resulting in membrane scission, coupled to the hydrolysis of a nucleoside triphosphate. [GOC:mah, GOC:vw, ISBN:0815316194, PMID:11242086]"	10	0.073	1.09E-04	5.48E-03
GO_CATION_CHANNEL_ACTIVITY	319	"Enables the energy-independent passage of cations across a lipid bilayer down a concentration gradient. [GOC:def, GOC:dph, GOC:mtg_transport, GOC:pr, ISBN:0815340729]"	16	0.0502	1.10E-04	5.48E-03
GO_CATION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	646	"Enables the transfer of cation from one side of a membrane to the other. [GOC:dgf, GOC:mtg_transport, ISBN:0815340729]"	25	0.0387	1.10E-04	5.48E-03
GO_NEUROPEPTIDE_RECEPTOR_BINDING	30	"Interacting selectively and non-covalently with a neuropeptide receptor. [GOC:kmv, GOC:mah]"	5	0.1667	1.29E-04	6.26E-03
GO_GUANYLATE_CYCLASE_REGULATOR_ACTIVITY	7	Modulates the activity of guanylate cyclase. [GOC:mah]	3	0.4286	1.55E-04	7.27E-03
GO_PEPTIDASE_ACTIVITY	627	"Catalysis of the hydrolysis of a peptide bond. A peptide bond is a covalent bond formed when the carbon atom from the carboxyl group of one amino acid shares electrons with the nitrogen atom from the amino group of a second amino acid. [GOC:jl, ISBN:0815332181]"	24	0.0383	1.76E-04	8.05E-03
GO_G_PROTEIN_COUPLED_RECEPTOR_BINDING	274	"Interacting selectively and non-covalently with a G protein-coupled receptor. [GOC:ceb, GOC:dph]"	14	0.0511	2.39E-04	1.06E-02
GO_MRNA_BINDING	492	"Interacting selectively and non-covalently with messenger RNA (mRNA), an intermediate molecule between DNA and protein. mRNA includes UTR and coding sequences, but does not contain introns. [GOC:kmv, GOC:pr, SO:0000234]"	20	0.0407	2.78E-04	1.20E-02
