Gene Set Name	# Genes in Gene Set (K)	Description	# Genes in Overlap (k)	k/K	p-value	FDR q-value
GO_KERATINIZATION	223	"The process in which the cytoplasm of the outermost cells of the vertebrate epidermis is replaced by keratin. Keratinization occurs in the stratum corneum, feathers, hair, claws, nails, hooves, and horns. [GOC:dph, GOC:ebc, GOC:sdb_2009, GOC:tb]"	23	0.1031	4.95E-12	2.27E-08
GO_CORNIFICATION	112	"A type of programmed cell death that occurs in the epidermis, morphologically and biochemically distinct from apoptosis. It leads to the formation of corneocytes, i.e. dead keratinocytes containing an amalgam of specific proteins (e.g., keratin, loricrin, SPR and involucrin) and lipids (e.g., fatty acids and ceramides), which are necessary for the function of the cornified skin layer (mechanical resistance, elasticity, water repellence and structural stability). [GOC:krc, PMID:18846107]"	17	0.1518	6.19E-12	2.27E-08
GO_HOMEOSTATIC_PROCESS	1913	"Any biological process involved in the maintenance of an internal steady state. [GOC:jl, ISBN:0395825172]"	72	0.0376	1.38E-10	2.70E-07
GO_DIGESTION	136	"The whole of the physical, chemical, and biochemical processes carried out by multicellular organisms to break down ingested nutrients into components that may be easily absorbed and directed into metabolism. [GOC:isa_complete, ISBN:0198506732]"	17	0.125	1.47E-10	2.70E-07
GO_GENE_SILENCING_BY_RNA	731	"Any process in which RNA molecules inactivate expression of target genes. [GOC:dph, GOC:mah, GOC:tb, PMID:15020054]"	39	0.0534	2.93E-10	3.34E-07
GO_CHEMICAL_HOMEOSTASIS	1184	Any biological process involved in the maintenance of an internal steady state of a chemical. [GOC:isa_complete]	52	0.0439	3.52E-10	3.34E-07
GO_PHOTOTRANSDUCTION	61	The sequence of reactions within a cell required to convert absorbed photons into a molecular signal. [GOC:go_curators]	12	0.1967	3.54E-10	3.34E-07
GO_REGULATION_OF_SYSTEM_PROCESS	610	"Any process that modulates the frequency, rate or extent of a system process, a multicellular organismal process carried out by any of the organs or tissues in an organ system. [GOC:jl]"	35	0.0574	3.63E-10	3.34E-07
GO_NERVOUS_SYSTEM_PROCESS	1422	"A organ system process carried out by any of the organs or tissues of neurological system. [GOC:ai, GOC:mtg_cardio]"	58	0.0408	5.32E-10	4.35E-07
GO_SENSORY_PERCEPTION_OF_LIGHT_STIMULUS	213	"The series of events required for an organism to receive a sensory light stimulus, convert it to a molecular signal, and recognize and characterize the signal. This is a neurological process. [GOC:ai]"	20	0.0939	6.49E-10	4.70E-07
GO_TRANSMEMBRANE_TRANSPORT	1587	"The process in which a solute is transported across a lipid bilayer, from one side of a membrane to the other. [GOC:dph, GOC:jid]"	62	0.0391	7.03E-10	4.70E-07
GO_DETECTION_OF_ABIOTIC_STIMULUS	137	The series of events in which an (non-living) abiotic stimulus is received by a cell and converted into a molecular signal. [GOC:hb]	16	0.1168	1.41E-09	8.15E-07
GO_SKELETAL_MUSCLE_CONTRACTION	42	"A process in which force is generated within skeletal muscle tissue, resulting in a change in muscle geometry. Force generation involves a chemo-mechanical energy conversion step that is carried out by the actin/myosin complex activity, which generates force through ATP hydrolysis. In the skeletal muscle, the muscle contraction takes advantage of an ordered sarcomeric structure and in most cases it is under voluntary control. [GOC:mtg_cardio, GOC:mtg_muscle]"	10	0.2381	1.44E-09	8.15E-07
GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	1375	"A series of molecular signals that proceeds with an activated receptor promoting the exchange of GDP for GTP on the alpha-subunit of an associated heterotrimeric G-protein complex. The GTP-bound activated alpha-G-protein then dissociates from the beta- and gamma-subunits to further transmit the signal within the cell. The pathway begins with receptor-ligand interaction, or for basal GPCR signaling the pathway begins with the receptor activating its G protein in the absence of an agonist, and ends with regulation of a downstream cellular process, e.g. transcription.  The pathway can start from the plasma membrane, Golgi or nuclear membrane (PMID:24568158 and PMID:16902576). [GOC:bf, GOC:mah, PMID:16902576, PMID:24568158, Wikipedia:G_protein-coupled_receptor]"	55	0.04	3.03E-09	1.59E-06
GO_DETECTION_OF_LIGHT_STIMULUS	75	The series of events in which a light stimulus (in the form of photons) is received and converted into a molecular signal. [GOC:go_curators]	12	0.16	4.29E-09	2.10E-06
GO_SARCOMERE_ORGANIZATION	49	"The myofibril assembly process that results in the organization of muscle actomyosin into sarcomeres. The sarcomere is the repeating unit of a myofibril in a muscle cell, composed of an array of overlapping thick and thin filaments between two adjacent Z discs. [GOC:bf]"	10	0.2041	7.25E-09	3.21E-06
GO_STRIATED_MUSCLE_CONTRACTION	175	"A process in which force is generated within striated muscle tissue, resulting in the shortening of the muscle. Force generation involves a chemo-mechanical energy conversion step that is carried out by the actin/myosin complex activity, which generates force through ATP hydrolysis. Striated muscle is a type of muscle in which the repeating units (sarcomeres) of the contractile myofibrils are arranged in registry throughout the cell, resulting in transverse or oblique striations observable at the level of the light microscope. [GOC:jl, GOC:mtg_muscle, ISBN:0198506732]"	17	0.0971	7.43E-09	3.21E-06
GO_SENSORY_PERCEPTION	968	"The series of events required for an organism to receive a sensory stimulus, convert it to a molecular signal, and recognize and characterize the signal. This is a neurological process. [GOC:ai, GOC:dph]"	43	0.0444	9.00E-09	3.68E-06
GO_REGULATION_OF_SIGNALING_RECEPTOR_ACTIVITY	596	"Any process that modulates the frequency, rate or extent of a signaling receptor activity. Receptor activity is when a molecule combines with an extracellular or intracellular messenger to initiate a change in cell activity. [GOC:dph, GOC:tb]"	32	0.0537	1.02E-08	3.93E-06
GO_REGULATION_OF_GENE_EXPRESSION_EPIGENETIC	882	"Any process that modulates the frequency, rate or extent of gene expression; the process is mitotically or meiotically heritable, or is stably self-propagated in the cytoplasm of a resting cell, and does not entail a change in DNA sequence. [PMID:10521337, PMID:11498582]"	40	0.0454	1.71E-08	6.30E-06
GO_MULTICELLULAR_ORGANISMAL_MOVEMENT	54	"Any physiological process involved in changing the position of a multicellular organism or an anatomical part of a multicellular organism. [GOC:dph, GOC:mtg_muscle, GOC:tb]"	10	0.1852	1.96E-08	6.85E-06
GO_CELLULAR_HOMEOSTASIS	971	"Any process involved in the maintenance of an internal steady state at the level of the cell. [GOC:isa_complete, GOC:jl, ISBN:0395825172]"	42	0.0433	2.84E-08	9.48E-06
GO_ION_TRANSPORT	1677	"The directed movement of charged atoms or small charged molecules into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. [GOC:ai]"	60	0.0358	3.28E-08	1.05E-05
GO_EPIDERMAL_CELL_DIFFERENTIATION	352	"The process in which a relatively unspecialized cell acquires specialized features of an epidermal cell, any of the cells making up the epidermis. [GOC:dph, GOC:go_curators, GOC:mtg_sensu, GOC:sdb_2009, GOC:tb]"	23	0.0653	3.76E-08	1.15E-05
GO_MUSCLE_SYSTEM_PROCESS	473	A organ system process carried out at the level of a muscle. Muscle tissue is composed of contractile cells or fibers. [GOC:mtg_cardio]	27	0.0571	4.20E-08	1.24E-05
GO_SKIN_DEVELOPMENT	414	"The process whose specific outcome is the progression of the skin over time, from its formation to the mature structure. The skin is the external membranous integument of an animal. In vertebrates the skin generally consists of two layers, an outer nonsensitive and nonvascular epidermis (cuticle or skarfskin) composed of cells which are constantly growing and multiplying in the deeper, and being thrown off in the superficial layers, as well as an inner vascular dermis (cutis, corium or true skin) composed mostly of connective tissue. [GOC:jl, UBERON:0002097]"	25	0.0604	4.53E-08	1.28E-05
GO_DIVALENT_INORGANIC_CATION_HOMEOSTASIS	509	Any process involved in the maintenance of an internal steady state of divalent cations within an organism or cell. [GOC:mah]	28	0.055	5.14E-08	1.40E-05
GO_EPIDERMIS_DEVELOPMENT	460	"The process whose specific outcome is the progression of the epidermis over time, from its formation to the mature structure. The epidermis is the outer epithelial layer of an animal, it may be a single layer that produces an extracellular material (e.g. the cuticle of arthropods) or a complex stratified squamous epithelium, as in the case of many vertebrate species. [GOC:go_curators, UBERON:0001003]"	26	0.0565	9.07E-08	2.32E-05
