Gene Set Name	# Genes in Gene Set (K)	Description	# Genes in Overlap (k)	k/K	p-value	FDR q-value
GO_DNA_BINDING_TRANSCRIPTION_FACTOR_ACTIVITY	1701	"A protein or a member of a complex that interacts selectively and non-covalently with a specific DNA sequence (sometimes referred to as a motif) within the regulatory region of a gene to modulate transcription. Regulatory regions include promoters (proximal and distal) and enhancers. Genes are transcriptional units, and include bacterial operons. [GOC:txnOH-2018]"	201	0.1182	3.78E-63	6.22E-60
GO_SEQUENCE_SPECIFIC_DNA_BINDING	1120	"Interacting selectively and non-covalently with DNA of a specific nucleotide composition, e.g. GC-rich DNA binding, or with a specific sequence motif or type of DNA e.g. promotor binding or rDNA binding. [GOC:jl]"	142	0.1268	9.01E-48	7.41E-45
GO_REGULATORY_REGION_NUCLEIC_ACID_BINDING	940	"Interacting selectively and non-covalently with a nucleic acid region that regulates a nucleic acid-based process. Such processes include transcription, DNA replication, and DNA repair. [GOC:txnOH]"	110	0.117	8.54E-34	4.68E-31
GO_MOLECULAR_TRANSDUCER_ACTIVITY	1544	"A compound molecular function in which an effector function is controlled by one or more regulatory components. [GOC:dos, GOC:pdt]"	140	0.0907	7.12E-31	2.93E-28
GO_TRANSMEMBRANE_SIGNALING_RECEPTOR_ACTIVITY	1277	"Combining with an extracellular or intracellular signal and transmitting the signal from one side of the membrane to the other to initiate a change in cell activity or state as part of signal transduction. [GOC:go_curators, Wikipedia:Transmembrane_receptor]"	125	0.0979	1.09E-30	3.59E-28
GO_SEQUENCE_SPECIFIC_DOUBLE_STRANDED_DNA_BINDING	865	"Interacting selectively and non-covalently with double-stranded DNA of a specific nucleotide composition, e.g. GC-rich DNA binding, or with a specific sequence motif or type of DNA, e.g. promotor binding or rDNA binding. [GOC:dos, GOC:sl]"	100	0.1156	2.45E-30	6.71E-28
GO_DOUBLE_STRANDED_DNA_BINDING	957	"Interacting selectively and non-covalently with double-stranded DNA. [GOC:elh, GOC:vw]"	102	0.1066	4.79E-28	1.12E-25
GO_DNA_BINDING_TRANSCRIPTION_ACTIVATOR_ACTIVITY	414	"Interacting selectively and non-covalently with a specific DNA sequence in order to activate or increase the frequency, rate or extent of transcription by a RNA polymerase. [GOC:krc]"	63	0.1522	6.87E-26	1.41E-23
GO_PROXIMAL_PROMOTER_SEQUENCE_SPECIFIC_DNA_BINDING	543	"Interacting selectively and non-covalently with a specific upstream regulatory DNA sequence (transcription factor recognition sequence or binding site) located in the proximal promoter. The proximal promoter is in cis with and relatively close to the core promoter. [GOC:pg, GOC:txnOH]"	69	0.1271	1.45E-23	2.65E-21
GO_SIGNALING_RECEPTOR_BINDING	1633	"Interacting selectively and non-covalently with one or more specific sites on a receptor molecule, a macromolecule that undergoes combination with a hormone, neurotransmitter, drug or intracellular messenger to initiate a change in cell function. [GOC:bf, GOC:ceb, ISBN:0198506732]"	128	0.0784	1.66E-22	2.73E-20
GO_CALCIUM_ION_BINDING	698	Interacting selectively and non-covalently with calcium ions (Ca2+). [GOC:ai]	76	0.1089	1.11E-21	1.65E-19
GO_GATED_CHANNEL_ACTIVITY	341	Enables the transmembrane transfer of a solute by a channel that opens in response to a specific stimulus. [GOC:mtg_transport]	50	0.1466	4.29E-20	5.88E-18
GO_PROTEIN_DIMERIZATION_ACTIVITY	1325	"The formation of a protein dimer, a macromolecular structure consists of two noncovalently associated identical or nonidentical subunits. [ISBN:0198506732]"	106	0.08	2.20E-19	2.78E-17
GO_PASSIVE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	454	"Enables the transfer of a single solute from one side of a membrane to the other by a mechanism involving conformational change, either by facilitated diffusion or in a membrane potential dependent process if the solute is charged. [GOC:mtg_transport, ISBN:0815340729]"	56	0.1233	9.41E-19	1.11E-16
GO_CATION_CHANNEL_ACTIVITY	319	"Enables the energy-independent passage of cations across a lipid bilayer down a concentration gradient. [GOC:def, GOC:dph, GOC:mtg_transport, GOC:pr, ISBN:0815340729]"	46	0.1442	2.66E-18	2.92E-16
GO_RECEPTOR_REGULATOR_ACTIVITY	525	The function of interacting (directly or indirectly) with receptors such that the proportion of receptors in the active form is changed. [GOC:ceb]	58	0.1105	4.02E-17	4.10E-15
GO_PEPTIDE_RECEPTOR_ACTIVITY	152	Combining with an extracellular or intracellular peptide to initiate a change in cell activity. [GOC:jl]	31	0.2039	4.24E-17	4.10E-15
GO_METAL_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	440	Enables the transfer of metal ions from one side of a membrane to the other. [GOC:ai]	51	0.1159	4.56E-16	4.17E-14
GO_CYTOSKELETAL_PROTEIN_BINDING	950	"Interacting selectively and non-covalently with any protein component of any cytoskeleton (actin, microtubule, or intermediate filament cytoskeleton). [GOC:mah]"	79	0.0832	1.30E-15	1.12E-13
GO_LIGAND_GATED_ION_CHANNEL_ACTIVITY	138	"Enables the transmembrane transfer of an ion by a channel that opens when a specific ligand has been bound by the channel complex or one of its constituent parts. [GOC:mtg_transport, ISBN:0815340729]"	28	0.2029	1.61E-15	1.32E-13
GO_CATION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	646	"Enables the transfer of cation from one side of a membrane to the other. [GOC:dgf, GOC:mtg_transport, ISBN:0815340729]"	62	0.096	2.70E-15	2.11E-13
GO_NEUROPEPTIDE_RECEPTOR_ACTIVITY	50	Combining with a neuropeptide to initiate a change in cell activity. [GOC:ai]	18	0.36	3.41E-15	2.55E-13
GO_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	879	"Enables the transfer of an ion from one side of a membrane to the other. [GOC:dgf, GOC:mtg_transport, ISBN:0815340729]"	74	0.0842	5.65E-15	4.04E-13
GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY	866	"Combining with an extracellular signal and transmitting the signal across the membrane by activating an associated G-protein; promotes the exchange of GDP for GTP on the alpha subunit of a heterotrimeric G-protein complex. [GOC:bf, http://www.iuphar-db.org, Wikipedia:GPCR]"	73	0.0843	8.12E-15	5.57E-13
GO_MOLECULAR_FUNCTION_REGULATOR	1795	"A molecular function that modulates the activity of a gene product or complex.  Examples include enzyme regulators and channel regulators. [GOC:dos, GOC:pt]"	115	0.0641	6.30E-14	4.15E-12
GO_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	1047	"Enables the transfer of a substance, usually a specific substance or a group of related substances, from one side of a membrane to the other. [GOC:jid, GOC:mtg_transport, ISBN:0815340729]"	80	0.0764	8.29E-14	5.25E-12
GO_VOLTAGE_GATED_CATION_CHANNEL_ACTIVITY	141	"Enables the transmembrane transfer of a cation by a voltage-gated channel. A cation is a positively charged ion. A voltage-gated channel is a channel whose open state is dependent on the voltage across the membrane in which it is embedded. [GOC:mtg_transport, ISBN:0815340729]"	26	0.1844	1.76E-13	1.07E-11
GO_IDENTICAL_PROTEIN_BINDING	1711	Interacting selectively and non-covalently with an identical protein or proteins. [GOC:jl]	109	0.0637	4.31E-13	2.53E-11
