Gene Set Name	# Genes in Gene Set (K)	Description	# Genes in Overlap (k)	k/K	p-value	FDR q-value
GO_NEUROGENESIS	1599	"Generation of cells within the nervous system. [GO_REF:0000021, GOC:cls, GOC:curators, GOC:dgh, GOC:dph, GOC:jid, GOC:mtg_15jun06]"	223	0.1395	2.18E-84	1.60E-80
GO_NEURON_DIFFERENTIATION	1348	The process in which a relatively unspecialized cell acquires specialized features of a neuron. [GOC:mah]	201	0.1491	7.29E-81	2.68E-77
GO_CELL_CELL_SIGNALING	1644	"Any process that mediates the transfer of information from one cell to another. This process includes signal transduction in the receiving cell and, where applicable, release of a ligand and any processes that actively facilitate its transport and presentation to the receiving cell.  Examples include signaling via soluble ligands, via cell adhesion molecules and via gap junctions. [GOC:dos, GOC:mah]"	201	0.1223	1.17E-65	2.86E-62
GO_ANIMAL_ORGAN_MORPHOGENESIS	1034	"Morphogenesis of an animal organ. An organ is defined as a tissue or set of tissues that work together to perform a specific function or functions. Morphogenesis is the process in which anatomical structures are generated and organized. Organs are commonly observed as visibly distinct structures, but may also exist as loosely associated clusters of cells that work together to perform a specific function or functions. [GOC:dgh, GOC:go_curators, ISBN:0471245208, ISBN:0721662544]"	150	0.1451	3.76E-58	6.54E-55
GO_CENTRAL_NERVOUS_SYSTEM_DEVELOPMENT	980	"The process whose specific outcome is the progression of the central nervous system over time, from its formation to the mature structure. The central nervous system is the core nervous system that serves an integrating and coordinating function. In vertebrates it consists of the brain and spinal cord. In those invertebrates with a central nervous system it typically consists of a brain, cerebral ganglia and a nerve cord. [GOC:bf, GOC:jid, ISBN:0582227089]"	146	0.149	4.45E-58	6.54E-55
GO_NEURON_DEVELOPMENT	1096	"The process whose specific outcome is the progression of a neuron over time, from initial commitment of the cell to a specific fate, to the fully functional differentiated cell. [GOC:dph]"	152	0.1387	2.57E-56	3.14E-53
GO_PATTERN_SPECIFICATION_PROCESS	436	"Any developmental process that results in the creation of defined areas or spaces within an organism to which cells respond and eventually are instructed to differentiate. [GOC:go_curators, GOC:isa_complete, ISBN:0521436125]"	98	0.2248	1.53E-55	1.61E-52
GO_REGIONALIZATION	342	"The pattern specification process that results in the subdivision of an axis or axes in space to define an area or volume in which specific patterns of cell differentiation will take place or in which cells interpret a specific environment. [GOC:dph, GOC:isa_complete]"	84	0.2456	5.73E-51	5.27E-48
GO_LOCOMOTION	1943	Self-propelled movement of a cell or organism from one location to another. [GOC:dgh]	194	0.0998	2.43E-49	1.98E-46
GO_REGULATION_OF_NERVOUS_SYSTEM_DEVELOPMENT	914	"Any process that modulates the frequency, rate or extent of nervous system development, the origin and formation of nervous tissue. [GOC:ai]"	127	0.1389	4.94E-47	3.63E-44
GO_EMBRYO_DEVELOPMENT	989	"The process whose specific outcome is the progression of an embryo from its formation until the end of its embryonic life stage. The end of the embryonic stage is organism-specific. For example, for mammals, the process would begin with zygote formation and end with birth. For insects, the process would begin at zygote formation and end with larval hatching. For plant zygotic embryos, this would be from zygote formation to the end of seed dormancy. For plant vegetative embryos, this would be from the initial determination of the cell or group of cells to form an embryo until the point when the embryo becomes independent of the parent plant. [GOC:go_curators, GOC:isa_complete, GOC:mtg_sensu]"	132	0.1335	6.82E-47	4.56E-44
GO_REGULATION_OF_CELL_DIFFERENTIATION	1863	"Any process that modulates the frequency, rate or extent of cell differentiation, the process in which relatively unspecialized cells acquire specialized structural and functional features. [GOC:go_curators]"	185	0.0993	1.30E-46	7.98E-44
GO_POSITIVE_REGULATION_OF_DEVELOPMENTAL_PROCESS	1415	"Any process that activates or increases the rate or extent of development, the biological process whose specific outcome is the progression of an organism over time from an initial condition (e.g. a zygote, or a young adult) to a later condition (e.g. a multicellular animal or an aged adult). [GOC:ai]"	157	0.111	2.35E-45	1.33E-42
GO_POSITIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS	1795	"Any process that activates or increases the frequency, rate or extent of an organismal process, any of the processes pertinent to the function of an organism above the cellular level; includes the integrated processes of tissues and organs. [GOC:ai]"	179	0.0997	2.68E-45	1.41E-42
GO_CELLULAR_COMPONENT_MORPHOGENESIS	1115	"The process in which cellular structures, including whole cells or cell parts, are generated and organized. [GOC:dph, GOC:mah, GOC:tb]"	137	0.1229	1.71E-44	8.38E-42
GO_CELL_PROJECTION_ORGANIZATION	1512	"A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of a prolongation or process extending from a cell, e.g. a flagellum or axon. [GOC:jl, GOC:mah, http://www.cogsci.princeton.edu/~wn/]"	161	0.1065	3.19E-44	1.46E-41
GO_SYNAPTIC_SIGNALING	713	"Cell-cell signaling to, from or or within a synapse. [GOC:dos]"	108	0.1515	1.40E-43	6.03E-41
GO_HEAD_DEVELOPMENT	771	The biological process whose specific outcome is the progression of a head from an initial condition to its mature state. The head is the anterior-most division of the body. [GOC:dph]	111	0.144	1.31E-42	5.37E-40
GO_TUBE_DEVELOPMENT	1105	"The process whose specific outcome is the progression of a tube over time, from its initial formation to a mature structure. Epithelial and endothelial tubes transport gases, liquids and cells from one site to another and form the basic structure of many organs and tissues including lung and trachea, kidney, the mammary gland, the vascular system and the gastrointestinal and urinary-genital tracts. [PMID:12526790]"	131	0.1186	7.81E-41	3.02E-38
GO_CELL_MOTILITY	1719	"Any process involved in the controlled self-propelled movement of a cell that results in translocation of the cell from one place to another. [GOC:dgh, GOC:dph, GOC:isa_complete, GOC:mlg]"	166	0.0966	4.04E-40	1.48E-37
GO_BEHAVIOR	594	"The internally coordinated responses (actions or inactions) of animals (individuals or groups) to internal or external stimuli, via a mechanism that involves nervous system activity. [GOC:ems, GOC:jl, ISBN:0395448956, PMID:20160973]"	94	0.1582	1.34E-39	4.70E-37
GO_ANATOMICAL_STRUCTURE_FORMATION_INVOLVED_IN_MORPHOGENESIS	1172	"The developmental process pertaining to the initial formation of an anatomical structure from unspecified parts. This process begins with the specific processes that contribute to the appearance of the discrete structure and ends when the structural rudiment is recognizable. An anatomical structure is any biological entity that occupies space and is distinguished from its surroundings. Anatomical structures can be macroscopic such as a carpel, or microscopic such as an acrosome. [GOC:dph, GOC:jid, GOC:tb]"	133	0.1135	2.18E-39	7.27E-37
GO_REGULATION_OF_CELL_DEVELOPMENT	939	"Any process that modulates the rate, frequency or extent of the progression of the cell over time, from its formation to the mature structure. Cell development does not include the steps involved in committing a cell to a specific fate. [GOC:dph, GOC:tb]"	117	0.1246	1.41E-38	4.52E-36
GO_EMBRYONIC_MORPHOGENESIS	578	"The process in which anatomical structures are generated and organized during the embryonic phase. The embryonic phase begins with zygote formation. The end of the embryonic phase is organism-specific. For example, it would be at birth for mammals, larval hatching for insects and seed dormancy in plants. [GOC:jid, GOC:mtg_sensu]"	91	0.1574	3.59E-38	1.10E-35
GO_EPITHELIUM_DEVELOPMENT	1278	"The process whose specific outcome is the progression of an epithelium over time, from its formation to the mature structure. An epithelium is a tissue that covers the internal or external surfaces of an anatomical structure. [GOC:dph, GOC:mtg_lung]"	136	0.1064	3.13E-37	9.18E-35
GO_CELL_PART_MORPHOGENESIS	675	The process in which the anatomical structures of a cell part are generated and organized. [GOC:mah]	97	0.1437	3.25E-37	9.18E-35
GO_REGULATION_OF_TRANSPORT	1842	"Any process that modulates the frequency, rate or extent of the directed movement of substances (such as macromolecules, small molecules, ions) into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. [GOC:ai]"	167	0.0907	6.48E-37	1.76E-34
GO_RESPONSE_TO_ENDOGENOUS_STIMULUS	1648	"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus arising within the organism. [GOC:sm]"	156	0.0947	1.27E-36	3.33E-34
GO_SENSORY_ORGAN_DEVELOPMENT	535	"The process whose specific outcome is the progression of sensory organs over time, from its formation to the mature structure. [GOC:go_curators]"	85	0.1589	5.25E-36	1.33E-33
GO_POSITIVE_REGULATION_OF_CELL_DIFFERENTIATION	985	"Any process that activates or increases the frequency, rate or extent of cell differentiation. [GOC:go_curators]"	116	0.1178	6.96E-36	1.70E-33
GO_REGULATION_OF_NEURON_DIFFERENTIATION	650	"Any process that modulates the frequency, rate or extent of neuron differentiation. [GOC:go_curators]"	93	0.1431	1.50E-35	3.56E-33
GO_NEGATIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS	1288	"Any process that stops, prevents, or reduces the frequency, rate or extent of an organismal process, the processes pertinent to the function of an organism above the cellular level; includes the integrated processes of tissues and organs. [GOC:ai]"	133	0.1033	4.90E-35	1.13E-32
GO_BIOLOGICAL_ADHESION	1417	"The attachment of a cell or organism to a substrate, another cell, or other organism. Biological adhesion includes intracellular attachment between membrane regions. [GOC:isa_complete]"	140	0.0988	8.33E-35	1.85E-32
GO_FOREBRAIN_DEVELOPMENT	381	"The process whose specific outcome is the progression of the forebrain over time, from its formation to the mature structure. The forebrain is the anterior of the three primary divisions of the developing chordate brain or the corresponding part of the adult brain (in vertebrates, includes especially the cerebral hemispheres, the thalamus, and the hypothalamus and especially in higher vertebrates is the main control center for sensory and associative information processing, visceral functions, and voluntary motor functions). [http://www2.merriam-webster.com/cgi-bin/mwmednlm?book=Medical&va=forebrain]"	71	0.1864	8.60E-35	1.86E-32
GO_TUBE_MORPHOGENESIS	916	"The process in which the anatomical structures of a tube are generated and organized. Epithelial and endothelial tubes transport gases, liquids and cells from one site to another and form the basic structure of many organs and tissues, with tube shape and organization varying from the single-celled excretory organ in Caenorhabditis elegans to the branching trees of the mammalian kidney and insect tracheal system. [GOC:bf, PMID:14624839]"	109	0.119	3.84E-34	8.05E-32
GO_CELL_FATE_COMMITMENT	260	The commitment of cells to specific cell fates and their capacity to differentiate into particular kinds of cells. Positional information is established through protein signals that emanate from a localized source within a cell (the initial one-cell zygote) or within a developmental field. [ISBN:0716731185]	59	0.2269	5.02E-34	1.03E-31
GO_POSITIVE_REGULATION_OF_TRANSCRIPTION_BY_RNA_POLYMERASE_II	1185	"Any process that activates or increases the frequency, rate or extent of transcription from an RNA polymerase II promoter. [GOC:go_curators, GOC:txnOH]"	125	0.1055	7.74E-34	1.54E-31
GO_POSITIVE_REGULATION_OF_NERVOUS_SYSTEM_DEVELOPMENT	534	"Any process that activates, maintains or increases the frequency, rate or extent of nervous system development, the origin and formation of nervous tissue. [GOC:ai]"	82	0.1536	1.14E-33	2.20E-31
GO_REGULATION_OF_ION_TRANSPORT	682	"Any process that modulates the frequency, rate or extent of the directed movement of charged atoms or small charged molecules into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. [GOC:jl]"	91	0.1334	2.09E-32	3.93E-30
GO_CIRCULATORY_SYSTEM_DEVELOPMENT	1161	"The process whose specific outcome is the progression of the circulatory system over time, from its formation to the mature structure. The circulatory system is the organ system that passes nutrients (such as amino acids and electrolytes), gases, hormones, blood cells, etc. to and from cells in the body to help fight diseases and help stabilize body temperature and pH to maintain homeostasis. [GOC:mah, UBERON:0001009]"	121	0.1042	2.92E-32	5.36E-30
GO_RENAL_SYSTEM_DEVELOPMENT	294	"The process whose specific outcome is the progression of the renal system over time, from its formation to the mature structure. The renal system maintains fluid balance and contributes to electrolyte balance, acid/base balance, and disposal of nitrogenous waste products. In humans, the renal system comprises a pair of kidneys, a pair of ureters, urinary bladder, urethra, sphincter muscle and associated blood vessels. [GOC:mtg_kidney_jan10, GOC:yaf, http://en.wikibooks.org/wiki/Human_Physiology/The_Urinary_System]"	60	0.2041	7.53E-32	1.35E-29
GO_SIGNAL_RELEASE	460	The process in which a signal is secreted or discharged into the extracellular medium from a cellular source. [GOC:mtg_signal]	74	0.1609	7.93E-32	1.39E-29
GO_CELL_MORPHOGENESIS_INVOLVED_IN_DIFFERENTIATION	727	"The change in form (cell shape and size) that occurs when relatively unspecialized cells, e.g. embryonic or regenerative cells, acquire specialized structural and/or functional features that characterize the cells, tissues, or organs of the mature organism or some other relatively stable phase of the organism's life history. [GOC:go_curators]"	93	0.1279	1.18E-31	2.02E-29
GO_REGULATION_OF_CELL_POPULATION_PROLIFERATION	1708	"Any process that modulates the frequency, rate or extent of cell proliferation. [GOC:jl]"	149	0.0872	4.83E-31	8.07E-29
GO_EMBRYONIC_ORGAN_DEVELOPMENT	423	"Development, taking place during the embryonic phase, of a tissue or tissues that work together to perform a specific function or functions. Development pertains to the process whose specific outcome is the progression of a structure over time, from its formation to the mature structure. Organs are commonly observed as visibly distinct structures, but may also exist as loosely associated clusters of cells that work together to perform a specific function or functions. [GOC:jid]"	70	0.1655	6.02E-31	9.82E-29
GO_ION_TRANSPORT	1677	"The directed movement of charged atoms or small charged molecules into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. [GOC:ai]"	147	0.0877	7.62E-31	1.22E-28
GO_UROGENITAL_SYSTEM_DEVELOPMENT	331	"The process whose specific outcome is the progression of the urogenital system over time, from its formation to the mature structure. [GOC:go_curators]"	62	0.1873	1.19E-30	1.86E-28
GO_CENTRAL_NERVOUS_SYSTEM_NEURON_DIFFERENTIATION	181	"The process in which a relatively unspecialized cell acquires specialized features of a neuron whose cell body resides in the central nervous system. [GO_REF:0000021, GOC:cls, GOC:dgh, GOC:dph, GOC:jid, GOC:mtg_15jun06]"	47	0.2597	3.59E-30	5.50E-28
GO_CELLULAR_RESPONSE_TO_ENDOGENOUS_STIMULUS	1384	"Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus arising within the organism. [GOC:mah]"	130	0.0939	3.77E-30	5.65E-28
GO_POSITIVE_REGULATION_OF_SIGNALING	1828	"Any process that activates, maintains or increases the frequency, rate or extent of a signaling process. [GOC:mtg_signal]"	153	0.0837	6.54E-30	9.62E-28
GO_CELL_MORPHOGENESIS_INVOLVED_IN_NEURON_DIFFERENTIATION	576	"The process in which the structures of a neuron are generated and organized. This process occurs while the initially relatively unspecialized cell is acquiring the specialized features of a neuron. [GOC:dph, GOC:tb]"	80	0.1389	8.57E-30	1.24E-27
